# OECD Entrepreneurship Financing DB, 'Venture capital investments
# (market statistics)', dataflow DSD_VC@DF_VC_INV. Total stage only,
# % of GDP and absolute US$ (millions). Accessed 2026-06-24.
country,stage,unit,year,value
Czechia,Start-up and other early stage,"US dollars, exchange rate converted",2009,0.0
Greece,Total,Percentage of GDP,2012,0.0
Greece,Start-up and other early stage,Percentage of GDP,2012,0.0
Greece,Total,"US dollars, exchange rate converted",2012,0.0
Greece,Start-up and other early stage,"US dollars, exchange rate converted",2012,0.0
Latvia,Total,"US dollars, exchange rate converted",2009,0.0
Latvia,Start-up and other early stage,Percentage of GDP,2009,0.0
Latvia,Total,Percentage of GDP,2009,0.0
Latvia,Start-up and other early stage,"US dollars, exchange rate converted",2009,0.0
Lithuania,Start-up and other early stage,Percentage of GDP,2009,0.0
Lithuania,Start-up and other early stage,"US dollars, exchange rate converted",2009,0.0
Luxembourg,Start-up and other early stage,"US dollars, exchange rate converted",2016,0.0
Luxembourg,Start-up and other early stage,Percentage of GDP,2016,0.0
Slovak Republic,Total,"US dollars, exchange rate converted",2008,0.0
Slovak Republic,Total,Percentage of GDP,2008,0.0
Slovak Republic,Start-up and other early stage,"US dollars, exchange rate converted",2008,0.0
Slovak Republic,Start-up and other early stage,Percentage of GDP,2008,0.0
Slovak Republic,Start-up and other early stage,Percentage of GDP,2009,0.0
Slovak Republic,Start-up and other early stage,"US dollars, exchange rate converted",2009,0.0
Slovak Republic,Total,Percentage of GDP,2009,0.0
Slovak Republic,Total,"US dollars, exchange rate converted",2009,0.0
Slovak Republic,Start-up and other early stage,"US dollars, exchange rate converted",2010,0.0
Slovak Republic,Start-up and other early stage,Percentage of GDP,2010,0.0
Slovak Republic,Start-up and other early stage,Percentage of GDP,2011,0.0
Slovak Republic,Start-up and other early stage,"US dollars, exchange rate converted",2011,0.0
Slovak Republic,Total,Percentage of GDP,2011,0.0
Slovak Republic,Total,"US dollars, exchange rate converted",2011,0.0
Slovak Republic,Total,"US dollars, exchange rate converted",2012,0.0
Slovak Republic,Total,Percentage of GDP,2012,0.0
Slovak Republic,Start-up and other early stage,"US dollars, exchange rate converted",2012,0.0
Slovak Republic,Start-up and other early stage,Percentage of GDP,2012,0.0
Slovak Republic,Start-up and other early stage,Percentage of GDP,2013,0.0
Slovak Republic,Start-up and other early stage,"US dollars, exchange rate converted",2013,0.0
Slovenia,Start-up and other early stage,"US dollars, exchange rate converted",2018,0.0
Slovenia,Start-up and other early stage,Percentage of GDP,2018,0.0
Slovenia,Start-up and other early stage,Percentage of GDP,2023,0.0
Slovenia,Start-up and other early stage,"US dollars, exchange rate converted",2023,0.0
